"","X","vpdphy","mpdphy","V3","vpdfunc","mpdfunc","V3.1","riq","lat","lon","HYBAS_ID"
"1",6070007350,16362.2891990892,314.186449864865,1.91150374714974,0.172315171175388,3.14288255417709,0.369596134386129,38,-0.60161347,-48.65026871,6050007250
"2",6070007360,35325.7721698919,338.087828177684,1.04613688458925,0.166196873257291,3.2167800167602,0.868464626632048,62,-0.91495289,-48.70895371,6050007250
"3",6070007390,31439.9551245021,326.518154767123,1.33793159754726,0.150581969208566,3.19721287683093,0.661154146041512,74,-0.997334659,-48.94484484,6050007250
"4",6070007430,14837.0618334213,293.766049112051,0.682199064779213,0.15908874456064,3.21535167592594,1.04653625429951,44,-1.270397741,-49.26804037,6050007250
"5",6070007440,16149.9436856612,303.382932587121,-0.371185808241136,0.193731204183184,3.12935457904561,-0.144780605427682,33,-1.55536459,-49.82412198,6050007250
"6",6070007670,7974.74713528595,211.431621298701,-0.0976585385817991,0.267281022797098,3.07202820503511,-0.950059771798263,22,-2.587620954,-50.13044155,6050007660
"7",6070007900,37109.9716036734,365.952277680241,2.53758479237757,0.140360614916982,3.24001723203117,1.49185096327461,52,-2.36825874,-49.55686638,6050007660
"8",6070007960,17125.4636808498,315.965394954023,0.28023932701449,0.14882606857585,3.18232406843153,0.582074627087183,30,-1.944181697,-49.150453,6050007960
"9",6070008010,18610.7521070619,281.896924393103,0.112505925364385,0.319392302838403,3.07774097350074,-0.336997283247637,30,-1.97345272,-49.01562681,6050007960
"10",6070008020,23808.4395156767,314.11155440123,1.0164092741099,0.153811644934809,3.19817440084216,1.34748048180533,87,-1.586473353,-48.68367379,6050007960
"11",6070008140,28404.2739285389,325.661386993105,2.18541088953811,0.144732222565232,3.2014342650871,0.980170000901543,148,-1.564400487,-48.03872964,6050007960
"12",6070008150,28589.2055264223,339.571050496134,2.47182439246416,0.138133115666227,3.19351889732537,1.79416765575759,97,-1.110472271,-48.24451881,6050007960
"13",6070243880,15560.9740609441,281.633724232288,-0.90269528597723,0.186747515308175,3.08843440433422,-0.426901324602528,42,-1.882384687,-48.60954412,6050007960
"14",6070243890,14710.1972838304,273.360509081903,-1.18766581577638,0.185994024477585,3.13014948958397,-0.526347171049302,94,-2.574100496,-48.45905277,6050007960
"15",6070243980,14712.8974884275,272.641044316513,-1.12739987525994,0.170831359593518,3.13677768504594,0.57071698884134,138,-1.915220344,-47.26024067,6050007960
"16",6070244100,17026.6943004005,291.483671663082,-0.199213634137519,0.17627499039489,3.14832461930238,0.723252663808597,63,-2.185094404,-47.75655258,6050007960
"17",6070246810,16484.5085810547,300.5724652933,0.907855291518049,0.151179598622033,3.17480413862528,1.75489820093728,113,-1.799182215,-51.67533708,6050007650
"18",6070246900,19515.1692783816,306.041216869674,-0.5436706922761,0.222859318663573,3.12598284535629,-0.106647428875184,57,-1.943931236,-51.44177415,6050007650
"19",6070250270,17125.9041820304,318.459359040816,0.432094424051632,0.166274051076415,3.153300800453,-0.166670293577746,50,-2.42902456,-50.7183276,6050007650
"20",6070253240,20940.9018783738,317.959741428571,-0.945574656958993,0.214211351219131,3.06122663499016,-0.588613332610571,29,-2.278167777,-51.72143312,6050007650
"21",6070258770,22189.7545785957,288.23431541785,-1.47145025718634,0.155012834249786,3.18306283621839,1.59560050769372,287,-3.347997445,-49.73339676,6050007950
"22",6070264790,27112.2362926208,273.013070865946,0.134326769921319,0.205846105680391,3.02019667038547,-1.17716239146816,75,-2.979955194,-47.82507193,6050007960
"23",6070271360,14121.3562775412,263.668586824068,-2.11760789630409,0.195944804771056,3.1340712602521,-1.63049916887432,94,-3.608262883,-51.18466022,6050007650
"24",6070271680,10966.1081442198,242.997201166667,-0.071556334531759,0.206069542688827,3.07818180747268,-0.275045052941222,25,-3.034860072,-50.2058256,6050007650
"25",6070279510,13662.7553645381,270.360854916129,0.788562256165737,0.115425538911181,3.2119588961782,1.23831981372333,31,-3.506550029,-49.20000468,6050007960
"26",6070281220,11937.0330321279,259.11636434,-0.994811414180536,0.249332492080243,3.14111392120204,-1.25647700502962,25,-3.480581781,-48.62605005,6050007960
"27",6070281230,21969.4265848392,271.865007471861,-2.01354846100494,0.297536651024174,2.92129102904109,-2.94290226265515,22,-3.42486641,-47.90970957,6050007960
"28",6070288960,15695.4996164865,266.53688812588,-2.15117998293325,0.207700497488345,3.13393294828201,-1.31639841523846,70,-4.435406181,-50.71345898,6050007650
"29",6070288970,17883.971318836,289.907152442396,-1.9952591463222,0.176755956296579,3.15846066191939,-0.532755184410434,63,-4.232122032,-50.38371705,6050007650
"30",6070295870,8056.23845739087,212.592187750538,-1.52776641233941,0.220314383740279,2.95363371642678,-2.04927927127935,31,-4.478212468,-48.41107572,6050007960
"31",6070295880,16377.6884396939,274.787540804078,-0.80785835552174,0.165393899002266,3.02209776181357,-0.183532461413768,48,-3.922015858,-48.17316912,6050007960
"32",6070299600,47333.5212274772,353.610388602564,0.830408686532072,0.155862584539559,3.2162749870034,1.19289285543026,40,-4.015181976,-49.45002463,6050007960
"33",6070299890,40489.5320514652,365.887314674877,1.21267421451976,0.202644270414338,3.19864289864649,0.195242888889383,29,-4.404314377,-49.9697938,6050007950
"34",6070299900,28542.9439445715,311.506304397619,-0.573863324099043,0.165962046726272,3.18621052811805,0.71708568141088,105,-4.447949098,-49.62198273,6050007950
"35",6070331250,16467.5710990403,284.608136547022,-1.89639647198219,0.163704117916306,3.1483457224017,0.271868825497517,88,-5.085213604,-49.98638275,6050007950
