"","vpdphy","mpdphy","sespd_cha$pd.obs.z","vpdfunc","mpdfunc","sespdfunc_cha$pd.obs.z","riq"
"6070007350",2520.88149229011,155.30636895,1.45954522957952,0.298867361113027,2.72685123424214,0.00682930240639185,16
"6070007360",2338.11824207744,144.821323458874,-0.0168803920820007,0.388550761841551,2.77045464498128,-0.767297831940784,22
"6070007390",2043.42991950218,150.816571746667,-0.159344424805528,0.342651842430008,2.71293197969144,-1.27234615608463,25
"6070007430",1534.96980517902,145.701600588235,1.04898699486769,0.36072304976137,2.83359802324902,-0.54581354990547,18
"6070007440",2524.94664119212,142.129202241758,-1.57001143918412,0.279634686947789,2.72026672364279,0.116638336483939,14
"6070007670",1420.63432097715,164.516483627451,3.34310220032252,0.307483753854034,2.88661337185334,0.404911381977623,18
"6070007900",1037.03157279121,155.873540166667,2.00043776892209,0.267518678367875,2.97305453156009,0.577938156945747,12
"6070007960",1147.11500120594,147.152506290909,0.919011422392087,0.283859109037754,2.94904431223066,0.838481226898495,11
"6070008010",2872.295249132,144.550310254902,1.09141067774902,0.412952951432087,2.59397809533246,-0.610296589140079,18
"6070008020",1730.71797301774,150.875807734848,1.07965084775167,0.322740743322713,2.87088658391526,-0.695782021952074,33
"6070008140",1785.80102439902,152.257266892598,0.459897622422296,0.31616229272136,2.86376056758319,-0.903815746712469,53
"6070008150",1980.5156198578,153.142888752228,-0.293096341413093,0.273177424372398,2.83705624109992,0.15903555171424,34
"6070243880",2084.5830831166,153.397385621053,0.976919569976874,0.375227637611364,2.84424419965274,-0.931245499123195,20
"6070243890",1985.6020811351,152.169989738205,-0.0557350608074405,0.322037663964991,2.85341915973478,-1.02171639580131,47
"6070243980",1983.38887277948,152.797861844867,0.744777093770182,0.315711317747166,2.82403792413164,-0.766008432999372,67
"6070244100",1701.13411712163,152.204552233512,1.91254625278972,0.272488478328918,2.85323479110875,0.663880101437993,34
"6070246810",1626.44757860133,155.563217541414,1.50006730541918,0.281474566475929,2.83743695544193,-0.0843719341512318,45
"6070246900",1717.10756706706,150.74865002,-0.137624064957434,0.286332349749839,2.81008925779334,0.253097139034542,25
